Shanghai,260.0,438.0,425.0,268.0,311.0,322.0,824.0,1015.0,1006.0,914.0,994.0,1189.0,2573.0,3200.0,3590.0,3238.0,2417.0,3084.0,2494.0,2634.0,1931.0,2736.0,1401.0,2472.0,1661.0,1606.0,1292.0,5487.0,1249.0,788.0,727.0
PudongNew,79.0,108.0,140.0,205.0,162.0,151.0,307.0,348.0,517.0,212.0,493.0,192.0,1139.0,1252.0,1142.0,1002.0,521.0,1075.0,720.0,756.0,409.0,704.0,541.0,874.0,292.0,206.0,534.0,1456.0,131.0,37.0,132.0
Huangpu,5.0,27.0,14.0,8.0,16.0,9.0,14.0,41.0,101.0,36.0,117.0,74.0,227.0,268.0,246.0,188.0,186.0,362.0,368.0,252.0,192.0,435.0,96.0,317.0,156.0,301.0,135.0,1370.0,250.0,110.0,128.0
Jingan,11.0,26.0,29.0,1.0,12.0,27.0,22.0,42.0,25.0,29.0,20.0,75.0,49.0,70.0,92.0,143.0,127.0,203.0,205.0,164.0,150.0,76.0,40.0,142.0,131.0,145.0,32.0,349.0,124.0,110.0,70.0
Xuhui,37.0,44.0,34.0,8.0,23.0,19.0,43.0,114.0,44.0,46.0,48.0,56.0,143.0,293.0,277.0,170.0,167.0,68.0,144.0,191.0,347.0,123.0,91.0,228.0,209.0,173.0,212.0,527.0,214.0,136.0,71.0
Changning,0.0,7.0,14.0,1.0,6.0,31.0,29.0,20.0,26.0,5.0,25.0,90.0,105.0,148.0,233.0,127.0,62.0,193.0,53.0,123.0,85.0,164.0,69.0,76.0,97.0,64.0,19.0,263.0,58.0,40.0,33.0
Putuo,13.0,39.0,21.0,4.0,7.0,27.0,11.0,21.0,24.0,7.0,37.0,50.0,45.0,45.0,66.0,145.0,330.0,21.0,100.0,49.0,94.0,71.0,39.0,43.0,47.0,104.0,24.0,96.0,55.0,27.0,12.0
Hongkou,3.0,30.0,11.0,5.0,8.0,1.0,26.0,18.0,12.0,6.0,25.0,83.0,121.0,174.0,287.0,157.0,266.0,233.0,148.0,102.0,103.0,428.0,82.0,106.0,138.0,37.0,68.0,469.0,22.0,47.0,69.0
Yangpu,11.0,19.0,30.0,10.0,11.0,12.0,29.0,12.0,32.0,61.0,30.0,60.0,54.0,48.0,275.0,84.0,26.0,64.0,64.0,202.0,54.0,88.0,42.0,75.0,65.0,47.0,60.0,75.0,27.0,22.0,35.0
Baoshan,10.0,35.0,32.0,1.0,7.0,9.0,9.0,29.0,36.0,21.0,47.0,16.0,13.0,50.0,74.0,51.0,85.0,203.0,41.0,107.0,136.0,179.0,135.0,135.0,216.0,295.0,52.0,277.0,130.0,112.0,94.0
Minhang,57.0,55.0,68.0,11.0,23.0,21.0,95.0,62.0,88.0,102.0,68.0,280.0,372.0,274.0,301.0,890.0,106.0,312.0,389.0,291.0,153.0,208.0,108.0,143.0,61.0,71.0,51.0,70.0,144.0,53.0,29.0
Jiading,9.0,26.0,14.0,4.0,11.0,6.0,23.0,116.0,21.0,71.0,43.0,42.0,54.0,200.0,173.0,103.0,356.0,72.0,104.0,82.0,80.0,76.0,73.0,132.0,58.0,89.0,13.0,132.0,22.0,41.0,14.0
Jinshan,3.0,0.0,4.0,1.0,1.0,3.0,72.0,45.0,44.0,15.0,3.0,3.0,12.0,23.0,21.0,9.0,5.0,3.0,1.0,16.0,8.0,0.0,0.0,0.0,0.0,2.0,10.0,8.0,1.0,0.0,2.0
Songjiang,19.0,8.0,6.0,6.0,14.0,2.0,107.0,108.0,10.0,291.0,21.0,77.0,131.0,178.0,198.0,87.0,153.0,191.0,58.0,165.0,22.0,120.0,32.0,166.0,108.0,29.0,52.0,252.0,24.0,29.0,12.0
Qingpu,0.0,3.0,3.0,1.0,6.0,4.0,4.0,24.0,9.0,1.0,7.0,61.0,99.0,128.0,131.0,46.0,17.0,77.0,72.0,120.0,60.0,44.0,26.0,8.0,44.0,27.0,4.0,137.0,46.0,21.0,24.0
Fengxian,2.0,8.0,4.0,2.0,2.0,0.0,31.0,12.0,13.0,11.0,4.0,1.0,2.0,20.0,23.0,23.0,1.0,2.0,2.0,6.0,14.0,6.0,1.0,0.0,3.0,2.0,0.0,3.0,1.0,2.0,1.0
Chongming,1.0,3.0,1.0,0.0,2.0,0.0,2.0,3.0,4.0,0.0,6.0,29.0,7.0,29.0,51.0,13.0,9.0,5.0,25.0,8.0,24.0,14.0,26.0,27.0,36.0,14.0,26.0,3.0,0.0,1.0,1.0
