,text,score,user,time
0,这数字……,0,一只海带控,Fri Apr 08 08:36:49 +0800 2022
1,两万这是怎么了,0,一定要快乐嗷,Fri Apr 08 08:39:04 +0800 2022
2,感谢所有努力抗疫的医护人员和志愿者，希望上海早日恢复正常！,4,我爱卡丁车999,Fri Apr 08 08:36:49 +0800 2022
3,希望宠物方舱能实施,2,Liy-Uper-x,Fri Apr 08 08:38:13 +0800 2022
4,太可怕了，上海要挺住啊！,-2.0,有钱哥哥变有钱XZ,Fri Apr 08 08:36:45 +0800 2022
5,上海加油！,0,霁风的颖子,Fri Apr 08 08:36:46 +0800 2022
6,感谢各地来沪支援的大白，一定注意自己的身体,4,小草帽8023,Fri Apr 08 08:38:46 +0800 2022
7,接种疫苗，做好防护，配合筛查。,0,植物人史军,Fri Apr 08 08:39:15 +0800 2022
8,这新增一出来，立马炸锅。 上海快点好起来吧。我都两年多没见到我爸妈了,1,Spaceyoung,Fri Apr 08 08:38:33 +0800 2022
9,医护人员们辛苦了！,-1,-臭屁小晗,Fri Apr 08 08:39:11 +0800 2022
10,加油 上海 辛苦医务志愿者们了,-1,听时光说呢,Fri Apr 08 08:39:15 +0800 2022
11,这座城市生病了，愿她早日好起来，恢复往日的繁华,2,kll85,Fri Apr 08 08:38:18 +0800 2022
12,咋还一天比一天多,0,抽离越清晰,Fri Apr 08 08:38:36 +0800 2022
13,抗疫必胜！上海必胜！,0,UppercaseA,Fri Apr 08 08:39:06 +0800 2022
14,我都不知道我应该说点啥，只能说加油吧,-2,_Mei_sy,Fri Apr 08 08:38:13 +0800 2022
15,上海加油！辛苦防疫人员了！,-1,Hanna_Yip,Fri Apr 08 08:39:03 +0800 2022
16,希望宠物方舱也能抓紧速度落实 虽然这几天数字越来越大，但可想应该也是支援的力量来了，管的查的越来越细。,10.0,我会做东哥爱吃的饼,Fri Apr 08 10:04:26 +0800 2022
17,加油呀希望这次结束疫情就彻底消失吧,0,十七sweetheart,Fri Apr 08 08:38:47 +0800 2022
18,这……,0,切尔西何,Fri Apr 08 08:39:03 +0800 2022
19,上海加油！！！！！,0,阳光下的社会好青年,Fri Apr 08 08:39:09 +0800 2022
20,上海加油！,0,多年以后李白是唯一念想,Fri Apr 08 08:39:03 +0800 2022
21,上海加油，破2万了,-1,杨小蛮006,Fri Apr 08 08:38:42 +0800 2022
22,其实最最最辛苦的还是一线的人员！ 虽然 但是还是希望疫情能赶紧过去吧,-1.0,夫君君的小仙女,Fri Apr 08 10:02:30 +0800 2022
23,上海挺住啊！,0,不想_写论文_,Fri Apr 08 08:38:58 +0800 2022
24,谢谢医护人员，蟹谢谢警察，谢谢志愿者，谢谢在一线的人，谢谢捐款的人。 疫情是面照妖镜。要一起对抗疫情，才能消灭疫情。,6,兜兜里有个糖吧,Fri Apr 08 10:03:11 +0800 2022
25,,0,今天的玲是山楂味的,Fri Apr 08 08:38:48 +0800 2022
26,？？？,0,心如止水的吃瓜少女,Fri Apr 08 08:38:23 +0800 2022
27,我的天呐上海加油,0,商Happy,Fri Apr 08 08:38:45 +0800 2022
28,都四月了 要快点控制住啊 夏天穿防护服太痛苦了,-2.0,在嗎肉卷,Fri Apr 08 10:00:15 +0800 2022
29,上海加油啊！祝愿早日清零,1,王尼玛不吃葡萄,Fri Apr 08 08:38:18 +0800 2022
30,加油,0,小花小鼠56066,Fri Apr 08 08:39:02 +0800 2022
31,七年之前去过上海，城市繁华和热闹的景象，让我们小城市的百姓特别羡慕，希望疫情赶紧驱散，恢复往日景象，上海加油,6,猪猪侠的小uv,Fri Apr 08 10:01:34 +0800 2022
32,上海加油,0,阿不阿不0809,Fri Apr 08 08:38:59 +0800 2022
33,快点好起来吧,1,六次方小熊,Fri Apr 08 08:38:39 +0800 2022
34,上海加油！,0,郭娜娜_,Fri Apr 08 08:38:25 +0800 2022
35,最辛苦的还是医务人员为上海的疫情不远万里的奔波，但却有那么些不自觉的人也在万里奔波散播病毒，害得全国各地都进入抗疫时代,-5.0,追逐繁星的李子,Fri Apr 08 10:00:54 +0800 2022
36,上海加油 ,0,主战岳派,Fri Apr 08 08:39:00 +0800 2022
37,上海加油，所有疫情地区都加油，中国加油,0,xixi阳光很暖,Fri Apr 08 08:38:21 +0800 2022
38,全国各地都在尽自己的能力支援了，拐点早点来到吧,3,爱吃熊掌的光头强,Fri Apr 08 10:02:41 +0800 2022
39,上海加油！,0,他死在昨晚的梦里,Fri Apr 08 08:38:35 +0800 2022
40,上海加油！医护人员辛苦了！,-1,来自喵星球的怪兽,Fri Apr 08 08:48:42 +0800 2022
41,好想出学校转转,2,充足的czd,Fri Apr 08 08:38:16 +0800 2022
42,上海加油，早日结束疫情！,0,Erin_Ruan,Fri Apr 08 08:38:51 +0800 2022
43,希望疫情早日清零。,1,海宁阿林,Fri Apr 08 10:02:20 +0800 2022
44,上海加油,0,呐呐长不大,Fri Apr 08 08:48:59 +0800 2022
45,天呐,0,圈圈可爱熊,Fri Apr 08 08:38:42 +0800 2022
46,上海赶紧好起来吧,1,小楚吖201801,Fri Apr 08 10:02:10 +0800 2022
47,上海加油！大白也要照顾好自己！,2,牵薛之手,Fri Apr 08 10:10:40 +0800 2022
48,,0,胖而不笨,Fri Apr 08 08:38:35 +0800 2022
49,上海顶住,0,黑客XXX_270,Fri Apr 08 08:38:33 +0800 2022
50,志愿者者们真是太辛苦了！感谢你们！上海快支棱起来吧！,1,爱啦爱咯爱吧,Fri Apr 08 10:08:55 +0800 2022
51,上海加油哇！挺住挺住挺住,0,棒棒棒之恋,Fri Apr 08 10:06:25 +0800 2022
52,这是怎么了？上海加油,0,萌姐和呆弟,Fri Apr 08 08:38:37 +0800 2022
53,加油,0,喜欢小新哒哒哒,Fri Apr 08 10:08:37 +0800 2022
54,所以工作人员辛苦了,-1,是李李李李子啊,Fri Apr 08 10:00:25 +0800 2022
55,加油上海,0,随风如歌,Fri Apr 08 10:01:35 +0800 2022
56,上海加油,0,爱宁的小蘑菇,Fri Apr 08 10:09:44 +0800 2022
57,上海加油啊！！！,0,苏肖肖-Only,Fri Apr 08 10:07:29 +0800 2022
58,上海加油啊！！！！,0,心之琑向的阿辞,Fri Apr 08 10:06:46 +0800 2022
59,上海加油  吉林加油,0,candice拉拉,Fri Apr 08 10:01:08 +0800 2022
60,会好的,2,风花雪月L迹天Y,Fri Apr 08 10:08:50 +0800 2022
61,我最爱的上海生病了，愿她赶紧好起来吧！,5.0,香南乳,Fri Apr 08 10:05:40 +0800 2022
62,只能加油了,0,Flower又开好了,Fri Apr 08 10:01:28 +0800 2022
63,上海加油! 抗疫人员辛苦啦!,-1,又是想绿了闻舟的一天,Fri Apr 08 10:08:13 +0800 2022
64,一线人员和志愿者辛苦了,0,Jeecicicaaa,Fri Apr 08 10:07:21 +0800 2022
65,上海加油,0,Anita的橙色盒094,Fri Apr 08 10:02:57 +0800 2022
66,相信上海可以挺过去，加油吧，我已经一年半没回家了，,1,小花茶Endeavor,Fri Apr 08 09:59:41 +0800 2022
67,唉,0,人已春末,Fri Apr 08 08:38:23 +0800 2022
68,上海加油。战胜疫情。,1,z顶天立地,Fri Apr 08 10:07:48 +0800 2022
69,上海加油,0,鸡毛胖纸,Fri Apr 08 10:05:39 +0800 2022
70,上海平安,1,嘟总是只猫,Fri Apr 08 09:59:00 +0800 2022
71,太难了太难了,0,上伊谷人,Fri Apr 08 10:06:19 +0800 2022
72,这数字好吓人，上海挺住，上海加油！,0,一只没有耳朵的吊瓜ang,Fri Apr 08 10:04:41 +0800 2022
73,拐点早日到来,0,犹念惊鸿一瞥,Fri Apr 08 10:07:26 +0800 2022
74,上海加油，很快会好起来的,2,苹果文,Fri Apr 08 10:07:03 +0800 2022
75,但愿守住这春暖花开，早日摆脱疫情,-2,居w一a笼,Fri Apr 08 10:04:42 +0800 2022
76,上海加油啊,0,Souhiquer,Fri Apr 08 10:11:24 +0800 2022
77,我哭了,0,也无风雨意无晴,Fri Apr 08 10:09:59 +0800 2022
78,这么多,0,忆如烟-Zw,Fri Apr 08 10:08:51 +0800 2022
79,啥都别说了，上海加油！！,0,阿消洛阳分消,Fri Apr 08 10:05:05 +0800 2022
80,上海人民挺住，医护人员和志愿者们辛苦，大家一起加油，共度难关,0,Wendy8032,Fri Apr 08 10:00:46 +0800 2022
81,,0,陆梁郭,Fri Apr 08 08:38:17 +0800 2022
82,上海加油,0,变白变美变漂亮的小辣鸡,Fri Apr 08 10:11:24 +0800 2022
83,上海加油! ! !,0,云三弄,Fri Apr 08 10:08:17 +0800 2022
84,天呢，疫情到底什么时候才能结束啊,1,话梅黑糖真的不戳,Fri Apr 08 10:02:36 +0800 2022
85,望平安，尽快稳定下来清零，大家都健健康康！ 疫情好讨厌啊！！！！,2,Nimo麟棋,Fri Apr 08 10:02:21 +0800 2022
86,上海加油，宝山加油,0,梦琪autumn,Fri Apr 08 10:00:11 +0800 2022
87,加油加油！！！！,0,Lufifyod,Fri Apr 08 08:48:42 +0800 2022
88,上海加油,0,鹤甍,Fri Apr 08 10:10:11 +0800 2022
89,上海加油，早日清零,0,影中之猫,Fri Apr 08 10:09:35 +0800 2022
90,上海加油哇,0,爱健身的李漂亮,Fri Apr 08 10:09:15 +0800 2022
91,加油,0,李格格_oO,Fri Apr 08 10:09:03 +0800 2022
92,加油，挺住,0,糖加糖的生活,Fri Apr 08 10:07:09 +0800 2022
93,中国加油,0,红唇似妖娆,Fri Apr 08 10:06:54 +0800 2022
94,上海加油 上海必胜,0,一顾倾城106180,Fri Apr 08 10:06:25 +0800 2022
95,求求了，疫情快走吧,0,鱼仔爱吃鱼,Fri Apr 08 10:05:35 +0800 2022
96,上海加油,0,韩晨娟子,Fri Apr 08 10:04:55 +0800 2022
97,抗疫必胜,0,我喜欢你而以,Fri Apr 08 10:04:49 +0800 2022
98,上海加油,0,王的江师大真题,Fri Apr 08 10:04:28 +0800 2022
99,,0,Colapie-Steven日系造型师,Fri Apr 08 10:02:22 +0800 2022
