,text,score,user,time
0,不排除，上一次是下降6天后来了个反弹，直接飙到2万以上 //@害羞的人民艺术家:据说这两天因为天气原因无法按计划尽检，看看未来三天的走向吧，有反弹的可能…,-6.0,拆台CT,Wed Apr 27 08:25:44 +0800 2022
1,比例算错了吧,0,剥羊皮的尖刀,Wed Apr 27 08:06:53 +0800 2022
2,都开始赶人，散毒了，要还不下降就出鬼了,0.0,精致猪猪的富贵人生,Wed Apr 27 08:02:50 +0800 2022
3,据说这两天因为天气原因无法按计划尽检，看看未来三天的走向吧，有反弹的可能…,-1,害羞的人民艺术家,Wed Apr 27 08:03:16 +0800 2022
4,这个数据里“非控占比是关键”，到目前为止确诊占比0.81％说明漏洞很大。上海仍没有控制住漏洞，漏洞堵不住、封控区不敢放时间长了就是大事儿。话说封都封不住你何以奢谈“精准”？,-2,vivi爱老虎油,Wed Apr 27 08:10:57 +0800 2022
5,啥时候股市是这条线就好了,2,李博雅my,Wed Apr 27 08:02:11 +0800 2022
6,上海小伙伴好多人都说了，也就是半城核酸出的数，玩数字游戏了,-2,李医生永不忘,Wed Apr 27 08:11:26 +0800 2022
7,不完整的数据能说明什么？全员核酸没有一次是真正全员完成的,3,WILLIAM_PiP,Wed Apr 27 08:26:45 +0800 2022
8,从没见过这种奇葩方式的统计。今天无意中去瞄了一眼，全国新冠统计。 上海居然是一个区，一个区划为一个地方。就他的妈妈离开了乐谱。,-2,吉玉青1920,Wed Apr 27 08:11:44 +0800 2022
9,数据下降有可能是测核酸频率下降了。而且上海发布的数字都是滞后的，今天公布的数字可能是24日的，根据是，我的小区爆阳和上榜日差了2-3天。数字反复震荡还是有可能的，但祈祷不要在回2w了，就这么降下去吧,4,双层连帽衫,Wed Apr 27 09:00:04 +0800 2022
10,思想已经被搞乱了，这次上海保卫战，不论如何，都将没有胜利,-1,大国崛起之终极崛起,Wed Apr 27 08:07:38 +0800 2022
11,接下来7天才是关键。6月前能否清零就看这几天了,3,菲利安斯,Wed Apr 27 08:08:30 +0800 2022
12,我们小区好多人拒绝核酸，已经一半楼了,-1,朱一龙的小宝贝哔叽,Wed Apr 27 13:16:58 +0800 2022
13,这是暴雨那天的数据吧,-1,辉哥今天分手了吗,Wed Apr 27 09:35:52 +0800 2022
14,昨天系统崩了，还有部分地区就没做，今天才补的，数据就图一乐吧,1,绝版-WKK,Wed Apr 27 09:15:55 +0800 2022
15,校正回归,0,不知名的洋葱,Wed Apr 27 12:43:17 +0800 2022
16,连基本的食物保障都没能做好，说全员核酸是不是在搞笑？,-1,五分配跑渣,Wed Apr 27 09:07:24 +0800 2022
17,快点吧，急需要托尼老师,2,依然阿拉丁,Wed Apr 27 08:02:16 +0800 2022
18,我们小区都是防范区了，昨天一下子爆了三个，按照上榜规律，至少三天后才会看到我们小区出现在上海发布上面,2,是CC_XU啊,Wed Apr 27 09:43:44 +0800 2022
19,不检测赶人走，可不就降了，曲线救国呀,0,钶锂铹,Wed Apr 27 08:08:05 +0800 2022
20,哇，只有1w零一点了，那个晚会可以提上议程了,-0.5,大白菜子哎,Wed Apr 27 08:07:40 +0800 2022
21,昨天天气不好，很多封控区取消了核酸检测，我这里也没做。。。。等下次全员核酸看看吧,-1,Aivei小瑷,Wed Apr 27 08:06:43 +0800 2022
22,非风控区人数降下来才是关键,2,迷你灬雷神,Wed Apr 27 08:05:09 +0800 2022
