,text,score,user,time
0,上海加油,0,伊莲的花园,Fri May 06 08:30:49 +0800 2022
1,阶段性胜利！稳住稳住,1,喜欢华哥的晔哥,Fri May 06 08:36:30 +0800 2022
2,超市限时购先列清单，赛跑♀️啊,0,土耳其小兄弟,Fri May 06 08:36:12 +0800 2022
3,加油,0,G朵朵芃蓁,Fri May 06 08:51:45 +0800 2022
4,加油！,0,Ms__Nutshell,Fri May 06 08:44:20 +0800 2022
5,我觉得还是稳重点，都这么久了，不希望大家白费劲儿,2,芬兰冰刀,Fri May 06 09:39:30 +0800 2022
6,上海加油,0,吹着海风喝Fanta,Fri May 06 11:20:09 +0800 2022
7,开心,1,小诺爱攀登,Fri May 06 08:50:11 +0800 2022
8,做好消杀，稳住，这成果来之不易,-1,Solomon所罗门之歌,Fri May 06 09:43:26 +0800 2022
9,希望上海早日解封吧，,1,Carolyn酱,Fri May 06 12:41:56 +0800 2022
10,疫情快快过去吧,0,知识不是用来和傻子争论的,Fri May 06 10:12:34 +0800 2022
11,加油。虽然是我最讨厌的城市。,-3.0,楂喳渣男,Fri May 06 10:02:23 +0800 2022
12,胜利在望，上海人民委屈了，防疫和医护人员辛苦了,-1,大师李庭舟,Fri May 06 09:49:18 +0800 2022
13,转发微博,0,良25292,Fri May 06 09:28:57 +0800 2022
14,北京加油,0,铁膝战警肖万,Fri May 06 09:27:29 +0800 2022
15,加油,0,水里的青青桃,Fri May 06 09:03:24 +0800 2022
16,上海加油,0,蓝色章鱼先生的女朋友,Fri May 06 10:31:31 +0800 2022
17,加油,0,四川武痴,Fri May 06 10:24:34 +0800 2022
18,不管怎样，每天都在下降，继续加油，争取下个月清零！,-2,抢蜂了,Fri May 06 10:02:12 +0800 2022
19,看到曙光了,0,Luluuu9,Fri May 06 10:00:34 +0800 2022
20,转发微博,0,ooDeny,Fri May 06 09:31:11 +0800 2022
